Flags	SID	Little Endian Skill ID	
Blank	0	00	00
Attack	1	01	00
HP Up	2	02	00
TP Up	3	03	00
ATK Up	4	04	00
DEF Up	5	05	00
Axe Mastery	6	06	00
Sword Mastery	7	07	00
Double Strike	8	08	00
War Cry	9	09	00
Strike Chaser	10	0A	00
Recover	11	0B	00
Boomerang Axe	12	0C	00
Raging Edge	13	0D	00
Tornado	14	0E	00
Falcon Slash	15	0F	00
Fire Chaser	16	10	00
Ice Chaser	17	11	00
Volt Chaser	18	12	00
Power Crush	19	13	00
Stunning Smash	20	14	00
Head Bash	21	15	00
Mine	22	16	00
Blinding Slap	23	17	00
Savage Cry	24	18	00
Triple Charge	25	19	00
Fire Chaser	26	1A	00
Ice Chaser	27	1B	00
Volt Chaser	28	1C	00
DUMMY	29	1D	00
Savage Cry	30	1E	00
Strike Chaser	31	1F	00
HP Up	32	20	00
TP Up	33	21	00
AGI Up	34	22	00
Bow Mastery	35	23	00
Predator	36	24	00
Awareness	37	25	00
Act First	38	26	00
Trickery	39	27	00
Hasten	40	28	00
Chain Dance	41	29	00
Endorphins	42	2A	00
Quick Step	43	2B	00
Power Shot	44	2C	00
Multi-Shot	45	2D	00
Disabling Shot	46	2E	00
Sagittarius Shot	47	2F	00
Owl-Eye	48	30	00
Stalker	49	31	00
Chop	50	32	00
Mine	51	33	00
Take	52	34	00
Efficiency	53	35	00
Sure Shot	54	36	00
Resuscitate	55	37	00
Sagittarius Shot	56	38	00
DUMMY	57	39	00
DUMMY	58	3A	00
DUMMY	59	3B	00
DUMMY	60	3C	00
DUMMY	61	3D	00
HP Up	62	3E	00
TP Up	63	3F	00
DEF Up	64	40	00
Shield Mastery	65	41	00
Aegis	66	42	00
En Garde	67	43	00
Provoke	68	44	00
Flee	69	45	00
Parry	70	46	00
Fortify	71	47	00
Defender	72	48	00
Front Guard	73	49	00
Rear Guard	74	4A	00
Fire Wall	75	4B	00
Volt Wall	76	4C	00
Ice Wall	77	4D	00
Shield Smite	78	4E	00
Cure	79	4F	00
Party Cure	80	50	00
Prayer	81	51	00
Mine	82	52	00
Shield Rush	83	53	00
Safe Passage	84	54	00
Bravery's Gift	85	55	00
DUMMY	86	56	00
DUMMY	87	57	00
DUMMY	88	58	00
DUMMY	89	59	00
DUMMY	90	5A	00
DUMMY	91	5B	00
HP Up	92	5C	00
TP Up	93	5D	00
ATK Up	94	5E	00
Whip Mastery	95	5F	00
Sword Mastery	96	60	00
Boost Up	97	61	00
Wrath's Might	98	62	00
Shadow Veil	99	63	00
Viper	100	64	00
Gag	101	65	00
Shackles	102	66	00
Cuffs	103	67	00
Ecstasy	104	68	00
Climax	105	69	00
Hypno Bite	106	6A	00
Nerve Bite	107	6B	00
Mirage Bite	108	6C	00
Drain Bite	109	6D	00
Bait	110	6E	00
Catastrophe	111	6F	00
Take	112	70	00
Dark Curse	113	71	00
Bind Heart	114	72	00
Soul Liberator	115	73	00
Bait	116	74	00
Bait	117	75	00
DUMMY	118	76	00
DUMMY	119	77	00
DUMMY	120	78	00
DUMMY	121	79	00
HP Up	122	7A	00
TP Up	123	7B	00
ATK Up	124	7C	00
Heal Mastery	125	7D	00
Curare	126	7E	00
Scavenge	127	7F	00
Focus	128	80	00
Cure	129	81	00
Heal	130	82	00
Diagnosis	131	83	00
